SOC Code;Occupation Title;Language Modeling AIOE
49-9041;Industrial Machinery Mechanics;-1,217
49-9043;Maintenance Workers, Machinery;-1,015
49-9044;Millwrights;-1,284
49-9045;Refractory Materials Repairers, Except Brickmasons;-1,209
49-9051;Electrical Power-Line Installers and Repairers;-1,119
49-9052;Telecommunications Line Installers and Repairers;-1,054
49-9061;Camera and Photographic Equipment Repairers;-0,360
49-9062;Medical Equipment Repairers;-0,537
49-9063;Musical Instrument Repairers and Tuners;-0,584
49-9064;Watch Repairers;-0,619
49-9071;Maintenance and Repair Workers, General;-1,070
49-9081;Wind Turbine Service Technicians;-0,984
49-9091;Coin, Vending, and Amusement Machine Servicers and Repairers;-0,852
49-9092;Commercial Divers;-1,082
49-9093;Fabric Menders, Except Garment;-1,464
49-9094;Locksmiths and Safe Repairers;-0,991
49-9095;Manufactured Building and Mobile Home Installers;-1,440
49-9096;Riggers;-1,278
49-9097;Signal and Track Switch Repairers;-1,148
49-9098;Helpers--Installation, Maintenance, and Repair Workers;-1,321
49-9099;Installation, Maintenance, and Repair Workers, All Other;-0,793
51-1011;First-Line Supervisors of Production and Operating Workers;-0,037
51-2011;Aircraft Structure, Surfaces, Rigging, and Systems Assemblers;-0,927
51-2021;Coil Winders, Tapers, and Finishers;-0,869
51-2022;Electrical and Electronic Equipment Assemblers;-0,752
51-2023;Electromechanical Equipment Assemblers;-0,652
51-2031;Engine and Other Machine Assemblers;-1,045
51-2041;Structural Metal Fabricators and Fitters;-1,078
51-2091;Fiberglass Laminators and Fabricators;-1,277
51-2092;Team Assemblers;-0,832
51-2093;Timing Device Assemblers and Adjusters;-0,635
51-3011;Bakers;-0,474
51-3021;Butchers and Meat Cutters;-0,977
51-3022;Meat, Poultry, and Fish Cutters and Trimmers;-1,026
51-3023;Slaughterers and Meat Packers;-1,543
51-3091;Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders;-0,790
51-3092;Food Batchmakers;-0,427
51-3093;Food Cooking Machine Operators and Tenders;-0,619
51-4011;Computer-Controlled Machine Tool Operators, Metal and Plastic;-0,888
51-4012;Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic;-0,341
51-4021;Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic;-1,325
51-4022;Forging Machine Setters, Operators, and Tenders, Metal and Plastic;-0,881
51-4023;Rolling Machine Setters, Operators, and Tenders, Metal and Plastic;-1,186
51-4031;Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic;-1,150
51-4032;Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic;-0,887
51-4033;Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic;-1,194
51-4034;Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic;-1,126
51-4035;Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic;-0,867
51-4041;Machinists;-0,978
51-4051;Metal-Refining Furnace Operators and Tenders;-1,304
51-4052;Pourers and Casters, Metal;-1,143
51-4061;Model Makers, Metal and Plastic;-0,868
51-4062;Patternmakers, Metal and Plastic;-0,788
51-4071;Foundry Mold and Coremakers;-1,642
51-4072;Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic;-1,108
51-4081;Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic;-0,845
51-4111;Tool and Die Makers;-0,687
51-4121;Welders, Cutters, Solderers, and Brazers;-1,298
51-4122;Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders;-1,048
51-4191;Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic;-1,171
51-4192;Layout Workers, Metal and Plastic;-0,936
51-4193;Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic;-0,828
51-4194;Tool Grinders, Filers, and Sharpeners;-1,097
51-5111;Prepress Technicians and Workers;-0,001
51-5112;Printing Press Operators;-0,844
51-5113;Print Binding and Finishing Workers;-0,914
51-6011;Laundry and Dry-Cleaning Workers;-0,889
51-6021;Pressers, Textile, Garment, and Related Materials;-1,854
51-6031;Sewing Machine Operators;-1,273
51-6041;Shoe and Leather Workers and Repairers;-1,007
51-6042;Shoe Machine Operators and Tenders;-1,052
51-6051;Sewers, Hand;-1,019
51-6052;Tailors, Dressmakers, and Custom Sewers;-0,607
51-6061;Textile Bleaching and Dyeing Machine Operators and Tenders;-0,923
51-6062;Textile Cutting Machine Setters, Operators, and Tenders;-1,116
51-6063;Textile Knitting and Weaving Machine Setters, Operators, and Tenders;-1,156
51-6064;Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders;-1,417
51-6091;Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers;-0,924
51-6092;Fabric and Apparel Patternmakers;-0,333
51-6093;Upholsterers;-1,405
51-7011;Cabinetmakers and Bench Carpenters;-1,327
51-7021;Furniture Finishers;-1,238
51-7031;Model Makers, Wood;-0,802
51-7032;Patternmakers, Wood;-1,208
51-7041;Sawing Machine Setters, Operators, and Tenders, Wood;-1,265
51-7042;Woodworking Machine Setters, Operators, and Tenders, Except Sawing;-1,204
51-8011;Nuclear Power Reactor Operators;0,409
51-8012;Power Distributors and Dispatchers;0,257
51-8013;Power Plant Operators;-0,441
51-8021;Stationary Engineers and Boiler Operators;-0,580
51-8031;Water and Wastewater Treatment Plant and System Operators;-0,559
51-8091;Chemical Plant and System Operators;-0,560
51-8092;Gas Plant Operators;-0,574
51-8093;Petroleum Pump System Operators, Refinery Operators, and Gaugers;-0,651
51-8099;Plant and System Operators, All Other;-0,811
51-9011;Chemical Equipment Operators and Tenders;-0,678
51-9012;Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders;-1,048
51-9021;Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders;-1,136
51-9022;Grinding and Polishing Workers, Hand;-1,220
51-9023;Mixing and Blending Machine Setters, Operators, and Tenders;-0,941
51-9031;Cutters and Trimmers, Hand;-0,946
51-9032;Cutting and Slicing Machine Setters, Operators, and Tenders;-1,199
51-9041;Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders;-1,138
51-9051;Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders;-0,847
51-9061;Inspectors, Testers, Sorters, Samplers, and Weighers;-0,156
51-9071;Jewelers and Precious Stone and Metal Workers;-0,637
51-9081;Dental Laboratory Technicians;-0,437
51-9082;Medical Appliance Technicians;-0,548
51-9083;Ophthalmic Laboratory Technicians;-0,918
51-9111;Packaging and Filling Machine Operators and Tenders;-1,011
51-9121;Coating, Painting, and Spraying Machine Setters, Operators, and Tenders;-1,279
51-9122;Painters, Transportation Equipment;-1,568
51-9123;Painting, Coating, and Decorating Workers;-0,951
51-9141;Semiconductor Processors;-0,713
51-9151;Photographic Process Workers and Processing Machine Operators;-0,498
51-9191;Adhesive Bonding Machine Operators and Tenders;-1,285
51-9192;Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders;-1,124
51-9193;Cooling and Freezing Equipment Operators and Tenders;-1,031
51-9194;Etchers and Engravers;-0,775
51-9195;Molders, Shapers, and Casters, Except Metal and Plastic;-1,241
51-9196;Paper Goods Machine Setters, Operators, and Tenders;-0,917
51-9197;Tire Builders;-1,463
51-9198;Helpers--Production Workers;-1,355
51-9199;Production Workers, All Other;-1,363
53-1011;Aircraft Cargo Handling Supervisors;-0,751
53-1021;First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand;0,138
53-1031;First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators;0,068
53-2011;Airline Pilots, Copilots, and Flight Engineers;-0,758
53-2012;Commercial Pilots;-0,644
53-2021;Air Traffic Controllers;0,648
53-2022;Airfield Operations Specialists;0,246
53-2031;Flight Attendants;-0,365
53-3011;Ambulance Drivers and Attendants, Except Emergency Medical Technicians;-0,844
53-3021;Bus Drivers, Transit and Intercity;-1,050
53-3022;Bus Drivers, School or Special Client;-0,729
53-3031;Driver/Sales Workers;-0,722
53-3032;Heavy and Tractor-Trailer Truck Drivers;-1,400
53-3033;Light Truck or Delivery Services Drivers;-1,200
53-3041;Taxi Drivers and Chauffeurs;-0,938
53-4011;Locomotive Engineers;-0,916
53-4012;Locomotive Firers;-1,073
53-4013;Rail Yard Engineers, Dinkey Operators, and Hostlers;-1,021
53-4021;Railroad Brake, Signal, and Switch Operators;-1,306
53-4031;Railroad Conductors and Yardmasters;-0,579
53-4041;Subway and Streetcar Operators;-0,913
53-5011;Sailors and Marine Oilers;-1,269
53-5021;Captains, Mates, and Pilots of Water Vessels;-0,793
53-5022;Motorboat Operators;-1,177
53-5031;Ship Engineers;-0,567
53-6011;Bridge and Lock Tenders;-0,799
53-6021;Parking Lot Attendants;-1,038
53-6031;Automotive and Watercraft Service Attendants;-1,108
53-6041;Traffic Technicians;0,129
53-6051;Transportation Inspectors;-0,318
53-6061;Transportation Attendants, Except Flight Attendants;-0,118
53-7011;Conveyor Operators and Tenders;-0,846
53-7021;Crane and Tower Operators;-1,352
53-7031;Dredge Operators;-1,256
53-7032;Excavating and Loading Machine and Dragline Operators;-1,364
53-7033;Loading Machine Operators, Underground Mining;-1,390
53-7041;Hoist and Winch Operators;-1,127
53-7051;Industrial Truck and Tractor Operators;-1,575
53-7061;Cleaners of Vehicles and Equipment;-1,535
53-7062;Laborers and Freight, Stock, and Material Movers, Hand;-1,498
53-7063;Machine Feeders and Offbearers;-1,013
53-7064;Packers and Packagers, Hand;-1,193
53-7071;Gas Compressor and Gas Pumping Station Operators;-0,873
53-7072;Pump Operators, Except Wellhead Pumpers;-0,972
53-7073;Wellhead Pumpers;-1,099
53-7081;Refuse and Recyclable Material Collectors;-1,263
53-7111;Mine Shuttle Car Operators;-1,497
53-7121;Tank Car, Truck, and Ship Loaders;-1,403
